Epoch: [1][600/677]	Time 0.023 (0.014)	Data 0.019 (0.011)	Loss 5.5456 (5.5453)	Prec@all 39.453 (37.909)
Epoch: [1][610/677]	Time 0.016 (0.014)	Data 0.012 (0.011)	Loss 5.5451 (5.5452)	Prec@all 41.406 (37.969)
Epoch: [1][620/677]	Time 0.003 (0.014)	Data 0.000 (0.011)	Loss 5.5452 (5.5452)	Prec@all 42.969 (38.037)
Epoch: [1][630/677]	Time 0.035 (0.014)	Data 0.032 (0.011)	Loss 5.5448 (5.5452)	Prec@all 43.359 (38.115)
Epoch: [1][640/677]	Time 0.025 (0.014)	Data 0.022 (0.011)	Loss 5.5448 (5.5452)	Prec@all 44.141 (38.218)
Epoch: [1][650/677]	Time 0.008 (0.014)	Data 0.003 (0.011)	Loss 5.5459 (5.5452)	Prec@all 45.312 (38.306)
Epoch: [1][660/677]	Time 0.037 (0.014)	Data 0.033 (0.011)	Loss 5.5458 (5.5452)	Prec@all 43.359 (38.387)
Epoch: [1][670/677]	Time 0.007 (0.014)	Data 0.003 (0.011)	Loss 5.5452 (5.5452)	Prec@all 40.625 (38.465)
Epoch: [2][0/677]	Time 0.172 (0.172)	Data 0.167 (0.167)	Loss 5.5462 (5.5462)	Prec@all 41.406 (41.406)
Epoch: [2][10/677]	Time 0.006 (0.026)	Data 0.002 (0.022)	Loss 5.5448 (5.5453)	Prec@all 42.578 (41.051)
Epoch: [2][20/677]	Time 0.038 (0.021)	Data 0.034 (0.017)	Loss 5.5464 (5.5456)	Prec@all 41.016 (40.495)
Epoch: [2][30/677]	Time 0.007 (0.018)	Data 0.003 (0.015)	Loss 5.5444 (5.5456)	Prec@all 39.062 (39.957)
Epoch: [2][40/677]	Time 0.035 (0.018)	Data 0.031 (0.014)	Loss 5.5445 (5.5455)	Prec@all 40.234 (39.844)
Epoch: [2][50/677]	Time 0.006 (0.017)	Data 0.003 (0.013)	Loss 5.5444 (5.5455)	Prec@all 40.234 (39.453)
Epoch: [2][60/677]	Time 0.006 (0.017)	Data 0.002 (0.013)	Loss 5.5448 (5.5454)	Prec@all 37.109 (38.915)
Epoch: [2][70/677]	Time 0.023 (0.016)	Data 0.019 (0.012)	Loss 5.5451 (5.5454)	Prec@all 35.938 (38.611)
Epoch: [2][80/677]	Time 0.009 (0.016)	Data 0.005 (0.012)	Loss 5.5453 (5.5454)	Prec@all 37.109 (38.416)
Epoch: [2][90/677]	Time 0.010 (0.016)	Data 0.006 (0.012)	Loss 5.5452 (5.5454)	Prec@all 36.719 (38.187)
Epoch: [2][100/677]	Time 0.016 (0.016)	Data 0.013 (0.012)	Loss 5.5445 (5.5453)	Prec@all 38.672 (38.161)
Epoch: [2][110/677]	Time 0.003 (0.016)	Data 0.000 (0.012)	Loss 5.5451 (5.5453)	Prec@all 38.281 (38.200)
Epoch: [2][120/677]	Time 0.011 (0.015)	Data 0.009 (0.012)	Loss 5.5460 (5.5453)	Prec@all 34.375 (38.146)
Epoch: [2][130/677]	Time 0.006 (0.015)	Data 0.003 (0.012)	Loss 5.5452 (5.5453)	Prec@all 36.328 (38.064)
Epoch: [2][140/677]	Time 0.017 (0.015)	Data 0.014 (0.012)	Loss 5.5443 (5.5453)	Prec@all 40.625 (37.963)
Epoch: [2][150/677]	Time 0.007 (0.015)	Data 0.004 (0.011)	Loss 5.5449 (5.5453)	Prec@all 38.281 (37.937)
Epoch: [2][160/677]	Time 0.007 (0.015)	Data 0.003 (0.011)	Loss 5.5448 (5.5453)	Prec@all 40.234 (37.886)
